"","LocationAbbr","YearStart","smoking","badDays","noActivity","obesity","BingeDrink","mentalDistress","noFruit","noInsure","depression","doctor","cardioDeath","noVeg","lostTeeth","shortSleep","dentist","noTeeth","allTeeth","noTransport","noSocial","noRent"
"1","AK",2020.5,17.25,3.6,21,32.05,17.45,12.8,42.1,11.3,18.275,66.8,141.4,18.65,28.6,34.6,62.1,12.7,66.6,10.5,8.8,12.5
"2","AL",2020.5,18.725,3.225,29.075,38.65,13.8,18.175,46.1,15.6,24.025,76.225,234.866666666667,21.15,41.6,40.25,59.75,18.4,60.15,11.1,9.7,14.8
"3","AR",2020.5,21.15,3.3,29.725,38.1,15.45,19.45,45.5,14.4666666666667,25.625,76,226.666666666667,20.8,42.25,37.85,56.35,22.2,58.25,NA,NA,NA
"4","AZ",2020.5,13.95,3.65,22.475,32.175,16.775,15.6,42.2,16.15,18.325,70.525,145.7,21.75,27.9,34.8,60.25,12,66.4,9.5,10.6,12.9
"5","CA",2020.5,9.475,4.075,21.225,28.125,16.825,13.5,36.4,11.75,15.55,67.65,142.9,23.25,24.45,33.25,65.15,8.3,68.5,9.1,13.3,13.8
"6","CO",2020.5,12.325,4.125,17.1,24.475,19.125,14.075,38.1,13.9666666666667,19.575,67.2666666666667,130.3,19.1,23.05,28.85,66.5,8.95,71.4,NA,NA,NA
"7","CT",2020.5,11.75,3.75,22.075,29.975,16.15,13.425,35.7,9.65,17.85,77,139.4,20.2,26.35,34.65,72.8,10.1,69.45,8.2,9.2,12.4
"8","DC",2020.5,11.25,3.725,17.55,25.075,22.125,13.1,32.8,5.25,19.85,75.375,183.333333333333,17.35,32.25,31.25,69.25,11.55,74.9,7.3,7.9,10.9
"9","DE",2020.5,15.1,3.475,24.45,35.55,16.05,14.175,40.1,11.5,18.475,76.625,158.866666666667,20.9,32,35.6,63.65,12.5,66.3,7.4,8.9,11.5
"10","FL",2020.5,14.3,3.2,25.0666666666667,28.7666666666667,16.3333333333333,14.3666666666667,NA,20.2666666666667,17.0666666666667,74.6333333333333,144.833333333333,21.6,33.1,36.4,60.45,13.25,62.45,9.3,10.1,13.3
"11","GA",2020.5,15.35,3.525,24.55,34.825,15.3,15.35,41.1,19.75,18,74.65,184.8,19.1,40.05,37.5,60.15,17.3,64.95,9.7,11.8,12.4
"12","GU",2020.5,20.85,3.36666666666667,28.875,33.325,17.025,12.65,41.8,19.7666666666667,10.325,71.7,NA,28.3,47.85,48.8,57,15.2,56.95,NA,NA,NA
"13","HI",2020.5,11.5,3.225,20.55,25.85,18.45,11.475,43.5,6.83333333333333,12.575,76.9,123.933333333333,22.1,18.85,42.65,72.4,5.65,68.35,NA,NA,NA
"14","IA",2020.5,16.275,3.5,24.375,36.55,22.825,13.7,42.3,8.45,18.05,75.4,176.9,22.95,29.7,32.85,67.85,11.6,68.95,6.7,6.8,9.7
"15","ID",2020.5,14.1,3.775,21,31.625,16.025,14.4,42.1,14.55,22.275,71.375,156.333333333333,16.4,29.75,31.55,67.95,13.15,68.9,7.6,6.7,10.7
"16","IL",2020.5,13.25,3.475,24.5,32.825,17.25,12.525,39.6,11.7666666666667,17.125,76.7333333333333,167.733333333333,20.05,29.7,34.15,66.8,12.25,69.75,NA,NA,NA
"17","IN",2020.5,18.775,3.525,26.975,36.925,16.375,16.125,42.9,11.5,22.875,75.15,184.633333333333,21,37.35,37.2,62.8,19,63.55,7.8,8.9,11.1
"18","KS",2020.5,16.4,3.725,23.375,36.15,18.375,15.25,43.9,13.125,20.3,73.775,169.7,19.7,29.1,34.75,66.3,12.05,67.75,6.9,6.7,10.8
"19","KY",2020.5,21.15,3.275,28.875,38.025,15,17.6,44.8,7.775,26.25,76.225,206.133333333333,19.2,46.95,39.35,58.9,23.5,58.9,8.3,8.2,10.3
"20","LA",2020.5,19.675,3.575,28.875,38.375,18.875,19.05,49,11.9666666666667,25.05,78.3666666666667,221.6,25.35,40.35,38.5,59.8,17.9,60,NA,NA,NA
"21","MA",2020.5,11.325,3.75,21.65,26.125,18.175,13.775,37.2,5.025,19.625,78.225,129.366666666667,16.3,30.3,32.35,72.8,11.65,69.95,8,8.4,10.5
"22","MD",2020.5,11.025,3.775,21.325,32.65,13.975,13.3,37.4,11,16.975,76.0666666666667,164.266666666667,20.7,28.75,36.4,65.9,9.3,68.6,NA,NA,NA
"23","ME",2020.5,17.5,3.65,23.675,32.05,17.825,16.075,35.6,10,25.35,76.725,152.333333333333,13,35.35,32.25,65.05,16.6,66.3,8.3,7.3,10.9
"24","MI",2020.5,18.2,3.725,22.45,35.075,18.575,16.85,39.8,8.66666666666667,22.425,76.3,202.8,19.8,29.8,35.85,68.7,11.95,66.8,NA,NA,NA
"25","MN",2020.5,14.15,4.15,19.475,31.65,20.5,13.325,36.8,8.175,21.675,70.325,119.566666666667,20.75,24.15,28.95,68.45,8.85,72.4,6.6,7.3,9.3
"26","MO",2020.5,18.75,3.6,25.725,35.775,18.725,16.575,43.9,14.3,23.225,74.375,195.366666666667,19.2,37.15,35.85,61.95,17,63.55,9.1,7.6,12.4
"27","MS",2020.5,20.075,2.75,31.725,40.15,14.2,16.025,46.9,17.8,20.775,77.85,242.5,22.65,44.7,37.1,34.05,19.45,55.65,10.7,14.3,15.7
"28","MT",2020.5,16.575,3.6,18.75,29.875,22.7,15.45,40.7,10.475,24.425,69.575,165,16.9,30.8,31.35,63.75,13.2,68.05,7.1,7.4,9.6
"29","NC",2020.5,16.525,3.1,23.025,34.55,16.15,14.375,40.5,16.3,21.75,77.425,160.6,17.35,39.65,33.55,64.45,17.1,65.05,8.1,9.9,14.2
"30","ND",2020.5,16.775,3.575,25.35,35.325,22.5,12.45,44.6,8.93333333333333,19.875,70.6,149.266666666667,22.3,32.7,32.3,66.55,12.25,69.6,NA,NA,NA
"31","NE",2020.5,14.3,3.425,23.8,35.05,21.25,12.4,43.2,14.4,17.2,71.5666666666667,149.833333333333,20.8,25.25,30.2,66.75,10.5,70.65,NA,NA,NA
"32","NH",2020.5,13.925,4.275,19.475,30.95,17.725,16,36.5,8.5,23.85,74.15,148,15.85,29.35,32.45,68.45,11.4,69.55,7.1,8,9.8
"33","NJ",2020.5,10.8666666666667,3.56666666666667,22.1333333333333,28.3333333333333,16.2,13.6,35.5,12.2333333333333,16.1,75.9333333333333,160.6,21.3,28.8,35.15,67.7,10.9,66.65,7.5,10.9,13.1
"34","NM",2020.5,15.8,3.075,23.35,33.175,15.75,15.1,41.9,12.475,19.175,65.875,155.8,22.75,32.8,32.5,62.15,12.65,65.15,9.5,8.2,16
"35","NV",2020.5,14.975,3.15,24.9,31,17.125,16.6,42.3,17.55,17.85,68.275,202.5,24.85,32.45,37.4,60.45,13,63.4,10.8,11.1,15.5
"36","NY",2020.5,12.3,3.525,25.65,28.25,16.675,13.575,36.1,11.3333333333333,16.9,78.6333333333333,170.933333333333,21.3,33.7,35.95,65.05,12.35,64.75,NA,NA,NA
"37","OH",2020.5,19.625,3.75,24.95,36.675,18.775,17.4,43.4,10.6333333333333,23.05,75.4666666666667,196.8,19.7,35.4,38.1,64.5,16.15,64.95,NA,NA,NA
"38","OK",2020.5,18.125,3.525,29.3,38.7,13.2,17.225,49,17.8666666666667,24.75,74,246.566666666667,21.05,39.55,35.05,59.15,18.65,59.95,NA,NA,NA
"39","OR",2020.5,13.5,3.825,19.8,29.7,18.225,16.325,38.3,10.9333333333333,24.2,69.7,137.833333333333,16.7,28.6,30.3,66.7,11.05,68.65,NA,NA,NA
"40","PA",2020.5,16.3,3.6,22.975,32.725,18.05,15.1,40.1,9.4,20.775,76.6666666666667,176.4,19.5,36.6,37.4,67.6,14.45,66.2,NA,NA,NA
"41","PR",2020.5,10.125,1.8,45.775,34.125,14.075,12.275,51.5,7.625,16.1,76.025,NA,44.95,46.2,37.1,60.4,14.2,51.65,13.1,10.7,19.1
"42","RI",2020.5,13.275,3.5,24,30.55,18.275,14.725,35.2,8.225,22.1,81.725,156.166666666667,19.95,29.05,34.5,71.7,12.05,67.4,8,10.3,13.5
"43","SC",2020.5,17.5,3.425,25.775,36.025,17.175,15.825,42.2,16.125,20.775,76.575,174.666666666667,19.85,35.95,35.65,65,15.1,63.6,8.7,9.5,12.7
"44","SD",2020.5,17.225,3.45,23.8,35.65,20.975,11.45,44.2,12.3,17.45,73.6,155.433333333333,18.35,29.05,31.1,69.6,12.45,68.95,NA,NA,NA
"45","TN",2020.5,19.975,3.6,26.625,36.75,15.725,18.2,46.3,14.95,26.475,75.825,212.866666666667,19.25,39.35,37.15,59.45,19.25,62.75,8.5,10.2,14
"46","TX",2020.5,13.375,3.525,25.625,35.45,17.225,13.975,40.7,25.7,18.2,71.7,172.666666666667,23.45,31.4,35.25,57.55,13.45,65.85,9.6,11.2,15.3
"47","US",2020.5,14.325,3.6,23.85,32.525,17.1,14.8,40.1,13.425,19.625,73.775,167.833333333333,21,32.3,35.05,64,13.2,66.1,8.7,10.3,12.9
"48","UT",2020.5,7.6,4.425,17.4,30.65,11.575,15.2,37.4,12.275,23.95,69.7,154.833333333333,20.45,23.6,32.65,72.3,9.55,69.9,5.5,7.8,9
"49","VA",2020.5,13.35,3.8,21.45,33.45,16.4,14.5,39.7,11.5,19.275,76.6666666666667,156.1,18,30.55,35.6,68.85,11.25,70.15,NA,NA,NA
"50","VI",2020.5,NA,3.4,23.35,32.25,11.95,11.85,40.3,22.6,10.8,73.85,NA,32.7,41.8,39.9,53.1,20.7,53.8,15.4,15.9,21
"51","VT",2020.5,15.1,4.2,17.825,27.425,19.825,16,34.6,6.95,24.775,70.95,164.8,13,32.85,29.35,67.75,15.4,71.7,6.3,8,8.2
"52","WA",2020.5,11.35,4.35,17.75,29.125,15.925,15.225,36.5,9.825,24.325,68.725,139.033333333333,19.25,24.95,31.35,68.35,9.6,70.9,7.3,10.7,9.9
"53","WI",2020.5,15.275,4.25,20.675,34.65,23.25,14.45,39.4,8.475,21.775,72.975,164.233333333333,21.55,29.05,32.5,69.3,10.55,70.8,6.6,8.6,9.3
"54","WV",2020.5,24.075,3.2,28.25,40.45,13.85,20.85,46.2,9.525,28.6,77.575,206.066666666667,18.85,51.25,41.5,57.6,24.5,54.85,10.3,9.8,13.9
"55","WY",2020.5,17.825,3.375,22.375,31.75,18.4,14.2,44.2,17.35,20.8,66.8,156.733333333333,19,32.1,33,65.25,15.5,66.9,4.5,6.2,8.9
