"","LocationAbbr","LocationDesc","Income","YearStart","obesity","Overweight","fruit","veg","cardio","mus_car","carLong","muscle","noAct"
"127","KY","Kentucky","$15,000 - $24,999",2013.5,37.0666666666667,31.7666666666667,51.1666666666667,27.4,39.7666666666667,11.7333333333333,25.2666666666667,22.1333333333333,37.9
"128","KY","Kentucky","$25,000 - $34,999",2013.5,34.85,35.2,48.9333333333333,28,43.4,15.5,25.0666666666667,24.7,32.2166666666667
"129","KY","Kentucky","$35,000 - $49,999",2013.5,34.35,35.95,47,23.0666666666667,45.2333333333333,16.2333333333333,27.8,26.8333333333333,28.8
"130","KY","Kentucky","$50,000 - $74,999",2013.5,34.2833333333333,36.4666666666667,46.7,20.9333333333333,46.8333333333333,17.8333333333333,28.6666666666667,27.8666666666667,24.3333333333333
"131","KY","Kentucky","$75,000 or greater",2013.5,28.6333333333333,39.8166666666667,40.9333333333333,14.5666666666667,57.9,24.3,35.2666666666667,33.9,16.1666666666667
"132","KY","Kentucky","Data not reported",2013.5,28.25,32.6833333333333,43.9666666666667,27.7333333333333,44.2,17.3,28.5666666666667,26.4666666666667,33.7
"133","KY","Kentucky","Less than $15,000",2013.5,36.2166666666667,29.9833333333333,54.0666666666667,36.0333333333333,38.2333333333333,11.9666666666667,25.4,20.8333333333333,42.0166666666667
"134","LA","Louisiana","$15,000 - $24,999",2013.5,38.6333333333333,31.8333333333333,48.7333333333333,40.7333333333333,38.4666666666667,14.6666666666667,24.6666666666667,22.1333333333333,38.1
"135","LA","Louisiana","$25,000 - $34,999",2013.5,35.4333333333333,35.4666666666667,43.1,32.7333333333333,47.5,17.5,30.4666666666667,25,30.5
"136","LA","Louisiana","$35,000 - $49,999",2013.5,37.3,34.2333333333333,50.5333333333333,28.9333333333333,45.2666666666667,19.3,25.1333333333333,26.9666666666667,28.1166666666667
"137","LA","Louisiana","$50,000 - $74,999",2013.5,33.0833333333333,38.85,48.2666666666667,23.4333333333333,47.7666666666667,18.7333333333333,26.2666666666667,28.5,26.1166666666667
"138","LA","Louisiana","$75,000 or greater",2013.5,32.2,37.0333333333333,47.7666666666667,20.7666666666667,53.2,21.3,32.0666666666667,30.8666666666667,19.5833333333333
"139","LA","Louisiana","Data not reported",2013.5,27.5833333333333,32.2,46.9,35.9,41.5,16.4,27.0666666666667,24.7333333333333,33.6666666666667
"140","LA","Louisiana","Less than $15,000",2013.5,39.8166666666667,28.55,51.1,45.2333333333333,35.1333333333333,10.2333333333333,23.2,19.2,45.2
"141","MA","Massachusetts","$15,000 - $24,999",2013.5,28.6666666666667,32.7833333333333,35.4,27.2,45.9666666666667,17.3666666666667,29.7333333333333,27.5,33.3333333333333
"142","MA","Massachusetts","$25,000 - $34,999",2013.5,24.9166666666667,35.0666666666667,32.8333333333333,23.6,47.7666666666667,18.3333333333333,29.9,26.9,29.5833333333333
"143","MA","Massachusetts","$35,000 - $49,999",2013.5,26.25,36.5666666666667,33.2666666666667,24.4333333333333,52.8666666666667,20.9333333333333,35.5,30.8333333333333,23.2833333333333
"144","MA","Massachusetts","$50,000 - $74,999",2013.5,25.95,36.3333333333333,31.4,17.4666666666667,55.2,22.4333333333333,34.6,31.3666666666667,19.5166666666667
"145","MA","Massachusetts","$75,000 or greater",2013.5,19.5,38.55,29.3666666666667,12.3333333333333,61.7333333333333,28.1333333333333,37.1333333333333,38.1,12.3333333333333
"146","MA","Massachusetts","Data not reported",2013.5,20.6,33.4666666666667,34.1333333333333,22.8333333333333,51.5,21.4333333333333,33.9666666666667,30,26.8666666666667
"147","MA","Massachusetts","Less than $15,000",2013.5,31.3166666666667,30.0833333333333,42.1666666666667,29.7666666666667,43.7333333333333,15.3333333333333,26.9666666666667,23.2333333333333,35.3333333333333
"148","MD","Maryland","$15,000 - $24,999",2013.5,32.8833333333333,31.95,40.1333333333333,28.6,41.8,15.8666666666667,26.8666666666667,26.5,36.2
"149","MD","Maryland","$25,000 - $34,999",2013.5,31.0166666666667,35.5666666666667,35.3333333333333,26.5,45.3,16.6666666666667,25.5,27.3333333333333,30.4166666666667
"150","MD","Maryland","$35,000 - $49,999",2013.5,33.75,34.2,38.2,24.6333333333333,49.6,19.2333333333333,28.7,28.3333333333333,26.75
"151","MD","Maryland","$50,000 - $74,999",2013.5,30.3666666666667,37.5166666666667,35.6,19.4666666666667,47.5,21.0333333333333,27.2666666666667,32.9333333333333,22.7666666666667
"152","MD","Maryland","$75,000 or greater",2013.5,25.5,38.5833333333333,31.9,15.1333333333333,57.5,26.4666666666667,32.6,36.9333333333333,14.5666666666667
"153","MD","Maryland","Data not reported",2013.5,24.4,33.7833333333333,37.7666666666667,26.5666666666667,48.7,20.3333333333333,29.8666666666667,29.4,25.7166666666667
"154","MD","Maryland","Less than $15,000",2013.5,35.4166666666667,29.4833333333333,46.9666666666667,34.2,38.9,15.0666666666667,25.3,24.0666666666667,38.7666666666667
"155","ME","Maine","$15,000 - $24,999",2013.5,32.6666666666667,32.9,39.4,23.3333333333333,48.3333333333333,15.7,32.5,24.3,30.3666666666667
"156","ME","Maine","$25,000 - $34,999",2013.5,30.8,35.7166666666667,34.4333333333333,19.7,52.6666666666667,18.1333333333333,33.6666666666667,25.7333333333333,24.5833333333333
"157","ME","Maine","$35,000 - $49,999",2013.5,30.5,38.0166666666667,33.4333333333333,15.9666666666667,55.2333333333333,18.6,34.8666666666667,26,22.1
"158","ME","Maine","$50,000 - $74,999",2013.5,28.1333333333333,39.7333333333333,30.7666666666667,14.3,57.4666666666667,22.6666666666667,37.1666666666667,31.4333333333333,17.85
"159","ME","Maine","$75,000 or greater",2013.5,24,39.5333333333333,26.2333333333333,10.8666666666667,63.6666666666667,26.5333333333333,40.8333333333333,35.1666666666667,11.2666666666667
"160","ME","Maine","Data not reported",2013.5,24.45,32.65,36.9666666666667,23.2,50.5333333333333,17.2666666666667,33.0333333333333,26.8333333333333,25.3666666666667
"161","ME","Maine","Less than $15,000",2013.5,34.9,29.3333333333333,46.1333333333333,30.5,46.3,14.9,31.6333333333333,22.6666666666667,34.2833333333333
"162","MI","Michigan","$15,000 - $24,999",2013.5,35.4666666666667,32.5166666666667,42.8666666666667,27.7333333333333,49.0333333333333,15.6666666666667,34.0666666666667,23.8333333333333,32.5666666666667
"163","MI","Michigan","$25,000 - $34,999",2013.5,33.5333333333333,35.5666666666667,42.1333333333333,28.1,47.6,16.7666666666667,32.2,27.2,29.6666666666667
"164","MI","Michigan","$35,000 - $49,999",2013.5,33.3666666666667,35.7666666666667,35.4333333333333,22,53.1666666666667,17.8333333333333,34.4666666666667,26.3666666666667,23.8333333333333
"165","MI","Michigan","$50,000 - $74,999",2013.5,32.0666666666667,36.1,36.3666666666667,20.5333333333333,55.8,20.5333333333333,34.8666666666667,29.4666666666667,20.05
"166","MI","Michigan","$75,000 or greater",2013.5,27.4666666666667,37.7,32.8,16.8333333333333,59.5666666666667,25.1,33.5666666666667,35.3,14.1666666666667
"167","MI","Michigan","Data not reported",2013.5,26.5833333333333,32.8333333333333,39.1666666666667,28.5666666666667,52.2666666666667,19.7666666666667,34.5333333333333,28.5666666666667,26.0666666666667
"168","MI","Michigan","Less than $15,000",2013.5,35.5166666666667,28.9,45.1666666666667,35.5,44.2333333333333,15.5333333333333,30.4,26.2333333333333,35.8166666666667
"169","MN","Minnesota","$15,000 - $24,999",2013.5,30.65,33.8333333333333,42.6333333333333,29.5666666666667,47.8666666666667,17.4333333333333,30.9,27.2,29.6833333333333
"170","MN","Minnesota","$25,000 - $34,999",2013.5,28.6,35.1666666666667,40.1666666666667,26,47.9666666666667,18.9666666666667,29.8666666666667,28.1,27.2166666666667
"171","MN","Minnesota","$35,000 - $49,999",2013.5,28.6833333333333,37.8166666666667,38.4666666666667,25.3,51.6333333333333,19,31.2,27.9,22.4833333333333
"172","MN","Minnesota","$50,000 - $74,999",2013.5,28.7166666666667,38.1166666666667,36.7333333333333,21.7666666666667,56.1,20.8666666666667,34.4666666666667,30.4333333333333,17.5666666666667
"173","MN","Minnesota","$75,000 or greater",2013.5,23.3333333333333,39.3333333333333,32.5,16.4666666666667,60.7,26.3,35.0333333333333,36.3,11.7333333333333
"174","MN","Minnesota","Data not reported",2013.5,21.6833333333333,33.35,37.7333333333333,26.1666666666667,50.4333333333333,19.1,30.9,28.6666666666667,24.1833333333333
"175","MN","Minnesota","Less than $15,000",2013.5,29.3166666666667,30.45,43.4,33.4,46.6,17.5,30.2,28.4333333333333,31.7
"176","MO","Missouri","$15,000 - $24,999",2013.5,34.0166666666667,33.6,48.2,28.3,45.5666666666667,15.8,30.8,21.6,35.1
"177","MO","Missouri","$25,000 - $34,999",2013.5,33.2166666666667,35.1833333333333,44.3666666666667,25.3666666666667,48.6666666666667,16.7333333333333,30.3333333333333,24.3,28.9666666666667
"178","MO","Missouri","$35,000 - $49,999",2013.5,31.4333333333333,38.0166666666667,42.9,21.5,48.6333333333333,15.3333333333333,30.4,22.8333333333333,27.5333333333333
"179","MO","Missouri","$50,000 - $74,999",2013.5,31.1666666666667,37.9,42.9,21.4333333333333,50.8666666666667,20.2666666666667,29.3333333333333,30.8666666666667,21.8666666666667
"180","MO","Missouri","$75,000 or greater",2013.5,28.5833333333333,38.6,37.7333333333333,15.5333333333333,56.8666666666667,23.4666666666667,34.1333333333333,34.7,15.7166666666667
"181","MO","Missouri","Data not reported",2013.5,25.8,30.7333333333333,42.9333333333333,27.9333333333333,48.3333333333333,15.3333333333333,32.8333333333333,24.1,28.1666666666667
"182","MO","Missouri","Less than $15,000",2013.5,34.4,27.7666666666667,53.3,38.9333333333333,41.1666666666667,13.7666666666667,25.5666666666667,21.5,37.7
"183","MS","Mississippi","$15,000 - $24,999",2013.5,40,31.6,52.9,36.9666666666667,36.0666666666667,12.9,22.3333333333333,22.2,38.8333333333333
"184","MS","Mississippi","$25,000 - $34,999",2013.5,36.35,34.05,51.3666666666667,33.3,38.1,14.4,23,24.5,35.2
"185","MS","Mississippi","$35,000 - $49,999",2013.5,34.9166666666667,37.45,46.6666666666667,25.8666666666667,40.7666666666667,17.4666666666667,23.5666666666667,27.6,29.75
"186","MS","Mississippi","$50,000 - $74,999",2013.5,34.8666666666667,38.65,46.8,22.6666666666667,45.6333333333333,19.2666666666667,25.4666666666667,28.7333333333333,24.5
"187","MS","Mississippi","$75,000 or greater",2013.5,29.8666666666667,39.75,45.9666666666667,18.3,47.9666666666667,20.4666666666667,26.3666666666667,32.2333333333333,20.8666666666667
"188","MS","Mississippi","Data not reported",2013.5,29.7666666666667,32.9333333333333,51.3333333333333,35.9333333333333,35.2,12.5666666666667,22.2,22.8,36.6166666666667
"189","MS","Mississippi","Less than $15,000",2013.5,40.8333333333333,28.6666666666667,56.5666666666667,42.0333333333333,28.5666666666667,8.93333333333333,16.6666666666667,18.5333333333333,46.75
"190","MT","Montana","$15,000 - $24,999",2013.5,27.25,34.4833333333333,44.3333333333333,23.4666666666667,53.6666666666667,18.2333333333333,36.3666666666667,27.2333333333333,26.3
"191","MT","Montana","$25,000 - $34,999",2013.5,26.15,37.0833333333333,39.0333333333333,20.4666666666667,54.1333333333333,19.5333333333333,37.3666666666667,28.4,24.4333333333333
"192","MT","Montana","$35,000 - $49,999",2013.5,25.1666666666667,38.6666666666667,38.7333333333333,20.4666666666667,56.9,23.3,37.8666666666667,31.0666666666667,21.2833333333333
"193","MT","Montana","$50,000 - $74,999",2013.5,24.2666666666667,40.95,36.3,16,60.1666666666667,25.7666666666667,39.2333333333333,32.9333333333333,17.4333333333333
"194","MT","Montana","$75,000 or greater",2013.5,22.0166666666667,39.6833333333333,32.2666666666667,13.8,65.9666666666667,30.7666666666667,43.8333333333333,39.2,13.35
"195","MT","Montana","Data not reported",2013.5,21.2833333333333,33.1,38.8666666666667,24.0666666666667,54.3666666666667,22.1666666666667,35.8333333333333,30.8333333333333,23.0666666666667
"196","MT","Montana","Less than $15,000",2013.5,29.4,29.7333333333333,47.5333333333333,30.8,48.4666666666667,18.7333333333333,33.8,27.5666666666667,31.4
"197","NC","North Carolina","$15,000 - $24,999",2013.5,34.3666666666667,34.3666666666667,43.6,25.4666666666667,42.3333333333333,15.4666666666667,25.7,25.1,32.65
"198","NC","North Carolina","$25,000 - $34,999",2013.5,33.7833333333333,35.15,43.5333333333333,23.4,45.5,16.9333333333333,28.2666666666667,25.5333333333333,28.3833333333333
"199","NC","North Carolina","$35,000 - $49,999",2013.5,31.3,37.8166666666667,43.1333333333333,21.9,48.9,20.1,27.6666666666667,29.0666666666667,24.1166666666667
"200","NC","North Carolina","$50,000 - $74,999",2013.5,29.6666666666667,37.3333333333333,41.6666666666667,16.2,51.3333333333333,18.3666666666667,29.3333333333333,28.9666666666667,19.5666666666667
"201","NC","North Carolina","$75,000 or greater",2013.5,24.9833333333333,39.4,35.8666666666667,13.4333333333333,58.7,26.8666666666667,34,36.8,12.4833333333333
"202","NC","North Carolina","Data not reported",2013.5,25.7666666666667,33.1833333333333,42.0666666666667,27,44.5666666666667,16.0333333333333,28.2666666666667,25.4,29.0166666666667
"203","NC","North Carolina","Less than $15,000",2013.5,35.0333333333333,32.4833333333333,51,31.1333333333333,36.8666666666667,12.4,21.4,22.1,36.6166666666667
"204","ND","North Dakota","$15,000 - $24,999",2013.5,33.05,30.6166666666667,44.1,33.2666666666667,42.1,14.0666666666667,24,23.7,32.8666666666667
"205","ND","North Dakota","$25,000 - $34,999",2013.5,32.1833333333333,35.3833333333333,41.7333333333333,28,41.6666666666667,14.2666666666667,23.8333333333333,25.0666666666667,29.4
"206","ND","North Dakota","$35,000 - $49,999",2013.5,32.4,36.55,40.0666666666667,27.7333333333333,43.9,15.1666666666667,25.7,24.5333333333333,25.3333333333333
"207","ND","North Dakota","$50,000 - $74,999",2013.5,31.7166666666667,38.4666666666667,37.9666666666667,24.1333333333333,47.5333333333333,18.7,26.2333333333333,27.5,23.0166666666667
"208","ND","North Dakota","$75,000 or greater",2013.5,29.65,40.1833333333333,38.0333333333333,21.2666666666667,52.6333333333333,21.1666666666667,30.2,31.2,17.3333333333333
"209","ND","North Dakota","Data not reported",2013.5,23.5666666666667,33.6833333333333,39.8666666666667,32.8333333333333,43.6333333333333,16.3333333333333,24.3,27.0333333333333,27.2666666666667
"210","ND","North Dakota","Less than $15,000",2013.5,33.0333333333333,30.7666666666667,42.9333333333333,37.4666666666667,43.9,15.3333333333333,23.7333333333333,28.0333333333333,33.5166666666667
"211","NE","Nebraska","$15,000 - $24,999",2013.5,32.2833333333333,33.3833333333333,43.9666666666667,29.0333333333333,44.0333333333333,15.9333333333333,26.4,25.6,32.85
"212","NE","Nebraska","$25,000 - $34,999",2013.5,32.2333333333333,35.9833333333333,42.4,27.3,46.9666666666667,16.4666666666667,27.9333333333333,25.2333333333333,28.4833333333333
"213","NE","Nebraska","$35,000 - $49,999",2013.5,32.6166666666667,36.9166666666667,40.7666666666667,24.8666666666667,49.1666666666667,17.9666666666667,30.8666666666667,26.7666666666667,24.6166666666667
"214","NE","Nebraska","$50,000 - $74,999",2013.5,31.4166666666667,38.0833333333333,39.3666666666667,21.0666666666667,50,20.4666666666667,28.2,30.3,20.6666666666667
"215","NE","Nebraska","$75,000 or greater",2013.5,27.0833333333333,39.2666666666667,34.9,17.8333333333333,58.6333333333333,26.1,33.5333333333333,36.0333333333333,13.25
"216","NE","Nebraska","Data not reported",2013.5,24.85,33.2833333333333,41.1666666666667,30.3666666666667,49,18.9333333333333,29.1666666666667,28.4,26.6333333333333
"217","NE","Nebraska","Less than $15,000",2013.5,32.25,30.2833333333333,48.0333333333333,35.5,41.6666666666667,14.8333333333333,25.7,23.5,33.5833333333333
"218","NH","New Hampshire","$15,000 - $24,999",2013.5,29.9666666666667,34.2833333333333,39.0666666666667,25.5,45.7666666666667,13.9333333333333,30.6666666666667,22.7666666666667,32.75
"219","NH","New Hampshire","$25,000 - $34,999",2013.5,28.2666666666667,34.0166666666667,35.7,21.3333333333333,49.3333333333333,16.5666666666667,30.4333333333333,26.7,27.5666666666667
"220","NH","New Hampshire","$35,000 - $49,999",2013.5,29.8333333333333,37.2,31.4666666666667,19.0333333333333,56.9,20.4,36.8,29,22.4
"221","NH","New Hampshire","$50,000 - $74,999",2013.5,29.3833333333333,37.0666666666667,33.7666666666667,15.1666666666667,56.9,24.1666666666667,34.2,32.8666666666667,19.5
"222","NH","New Hampshire","$75,000 or greater",2013.5,23.5666666666667,39,27.7333333333333,10.9666666666667,63.4666666666667,28.6,37.7333333333333,37.7666666666667,12.4
"223","NH","New Hampshire","Data not reported",2013.5,22.25,32.0666666666667,31.9333333333333,19.7666666666667,53.6,22.7666666666667,37.7,31.6666666666667,23.0333333333333
"224","NH","New Hampshire","Less than $15,000",2013.5,34.7666666666667,27.1833333333333,43.6333333333333,26.8666666666667,47.1666666666667,13.1333333333333,30.9,20.9,35.25
"225","NJ","New Jersey","$15,000 - $24,999",2013.5,29.6,36.75,39.1666666666667,28.3,42.6333333333333,16.0666666666667,27.5666666666667,24.6333333333333,36.9166666666667
"226","NJ","New Jersey","$25,000 - $34,999",2013.5,29.9166666666667,35.85,37.4333333333333,25.6333333333333,45.5,18.4,29.7333333333333,27.6,34.3166666666667
"227","NJ","New Jersey","$35,000 - $49,999",2013.5,28.6833333333333,37.55,34.5666666666667,22.2666666666667,50.3333333333333,21.9666666666667,33,30.5,28.95
"228","NJ","New Jersey","$50,000 - $74,999",2013.5,26.9166666666667,38.2333333333333,34.3666666666667,22.1333333333333,51.1,22.1666666666667,30.3,32.7,24.45
"229","NJ","New Jersey","$75,000 or greater",2013.5,23.1833333333333,38.8166666666667,32.8,16.4666666666667,57.5333333333333,26.2,33.8,37.5,16.4166666666667
"230","NJ","New Jersey","Data not reported",2013.5,21.0666666666667,32.85,32.9,23.3666666666667,49.2,20.5333333333333,32.9333333333333,29.8666666666667,29.7166666666667
"231","NJ","New Jersey","Less than $15,000",2013.5,31.85,34.3,42.8333333333333,29.8333333333333,41.3666666666667,15.8333333333333,25.7666666666667,23.7,41
"232","NM","New Mexico","$15,000 - $24,999",2013.5,29.8,34.95,43.3666666666667,24.8666666666667,49.7333333333333,18.9666666666667,30.4666666666667,28.6666666666667,28.4666666666667
"233","NM","New Mexico","$25,000 - $34,999",2013.5,28.6166666666667,36.6666666666667,39.7666666666667,23.8333333333333,51.5333333333333,21.1333333333333,33.8666666666667,30.2666666666667,25.2166666666667
"234","NM","New Mexico","$35,000 - $49,999",2013.5,28.2666666666667,37.6833333333333,38.7,19.3,54.8333333333333,23.2666666666667,34.9666666666667,32.7333333333333,21.5833333333333
"235","NM","New Mexico","$50,000 - $74,999",2013.5,28.4833333333333,38.0333333333333,36.2333333333333,16.2333333333333,61,26.6,37.7,36.1666666666667,15.45
"236","NM","New Mexico","$75,000 or greater",2013.5,23.2833333333333,39.2,34.4666666666667,14.3666666666667,63.2333333333333,29.9,40.2333333333333,39.7,12.25
"237","NM","New Mexico","Data not reported",2013.5,23.4666666666667,32,42.6333333333333,23.7,52.4333333333333,23.2666666666667,35.5,32.8333333333333,25.7166666666667
"238","NM","New Mexico","Less than $15,000",2013.5,31.4666666666667,33.1666666666667,45.8,30.7,46.8,17.1,31.0666666666667,25.1666666666667,32.4333333333333
"239","NV","Nevada","$15,000 - $24,999",2013.5,26.5333333333333,38.7833333333333,38.0666666666667,25.7333333333333,46.6666666666667,20.3333333333333,31.8333333333333,28.3,30.1
"240","NV","Nevada","$25,000 - $34,999",2013.5,28.4833333333333,38.0666666666667,37.5,22.0666666666667,50.9,20.9,30.6,28.9333333333333,26.85
"241","NV","Nevada","$35,000 - $49,999",2013.5,27.05,36.3833333333333,38.5333333333333,20.3666666666667,53.1,23.3,34.1,33.2,24.2
"242","NV","Nevada","$50,000 - $74,999",2013.5,26.85,39.0666666666667,35.7666666666667,19.3333333333333,58.1666666666667,27.7,38.4,38.9666666666667,18.8666666666667
"243","NV","Nevada","$75,000 or greater",2013.5,24.2,39.7833333333333,33.1333333333333,14.0666666666667,61.4,30.5666666666667,40.2333333333333,41.3,13.3
"244","NV","Nevada","Data not reported",2013.5,24.6833333333333,29.0833333333333,35.2333333333333,24.7333333333333,51.3333333333333,19.5666666666667,32.9,26.4333333333333,26.1166666666667
"245","NV","Nevada","Less than $15,000",2013.5,29.1333333333333,33.5166666666667,40,29.8,47.7666666666667,13.6666666666667,29.5666666666667,21.9,33.8666666666667
"246","NY","New York","$15,000 - $24,999",2013.5,28.8666666666667,34.2333333333333,39.8666666666667,27.3,42.0666666666667,16.0333333333333,25.3,26,36.1166666666667
"247","NY","New York","$25,000 - $34,999",2013.5,26.3833333333333,36.3333333333333,33.8333333333333,23.1333333333333,45.2666666666667,17.3666666666667,28.7,26.9333333333333,30.7833333333333
"248","NY","New York","$35,000 - $49,999",2013.5,27.4333333333333,35.4833333333333,34.3333333333333,21.7333333333333,47.6,20.1333333333333,30.0666666666667,29.9,27.4666666666667
"249","NY","New York","$50,000 - $74,999",2013.5,25.1,37.5166666666667,33.5,19.5666666666667,52.2666666666667,21.9,31.3,31.4333333333333,22.4666666666667
